source_file,service_name,reviewer,rating,time_ago,review_text,seller_reply
20-days-seo-boost.txt,20 Day SEO Boost,acneultimate,5,5 days ago,on time - good links -will buy again,
20-days-seo-boost.txt,20 Day SEO Boost,Buratese12,5,2 months ago,Thank you. Order complete as described and waiting results. Communicate is very very slow,"Thank you for your order. Regarding communication, please note weekends and time zone differences will effect this. Thanks again"
20-days-seo-boost.txt,20 Day SEO Boost,Thantheman1790,5,3 months ago,Barry and his team are awesome. He provides clear guidance and does his research to provide a well thought out SEO backlink strategy.,
20-days-seo-boost.txt,20 Day SEO Boost,Tradewinds,5,3 months ago,OK thanks,
20-days-seo-boost.txt,20 Day SEO Boost,angeltj,5,4 months ago,ok,
20-days-seo-boost.txt,20 Day SEO Boost,SimpleTechGuy,5,4 months ago,,
20-days-seo-boost.txt,20 Day SEO Boost,oneshopexpress,5,5 months ago,"Hello Barry, Been curious to check out the services i been buying from you but i been noticing that most of the keywords i paid to rank all are falling instead of increasing.",
20-days-seo-boost.txt,20 Day SEO Boost,pablobulto,5,8 months ago,So far si happy with the service provided and the reporting. Will see the effects in some weeks. Hope everything is ok as always. Recommended service with no doubt. Thanks,
20-days-seo-boost.txt,20 Day SEO Boost,om2010,5,1 year ago,Yes take your time,
content-that-ranks.txt,Content That Ranks,RTItraining,5,3 months ago,Barry is the best! We cannot recommend him highly enough!!!,
content-that-ranks.txt,Content That Ranks,Tradewinds,5,4 months ago,Thanks for the insight. I have some work to do,You're welcome. Let me know if you need any help getting those bits done. Thanks again
content-that-ranks.txt,Content That Ranks,Thantheman1790,5,4 months ago,Excellent job with an in depth breakdown of why Barry chose the keywords he did as well as some info on strategy moving forward. I look forward to ordering his other services.,Pleasure working with you. Thank you for your business and trust.
content-that-ranks.txt,Content That Ranks,mazino,5,1 year ago,,
content-that-ranks.txt,Content That Ranks,amelia007,5,2 years ago,hello you gan send me report ?,"Sure, I will send it again via PM. (Its currently attached to the order delivery tab) Thanks again!"
content-that-ranks.txt,Content That Ranks,88marketing,5,2 years ago,ok thank's,
content-that-ranks.txt,Content That Ranks,christenstefan,5,2 years ago,Great service as always!,
content-that-ranks.txt,Content That Ranks,igametech,5,2 years ago,OK,
content-that-ranks.txt,Content That Ranks,midesignz,5,2 years ago,looks good thanks,
content-that-ranks.txt,Content That Ranks,solidarityspy,5,2 years ago,GOOD WORK.,
hard-hitting-guest-posts.txt,Hard Hitting Guest Posts,almuzayanglobal,5,,Hey Barry. Is there any report of the other links we were placed on? Or is this entire order just for 1 placement?,Nice polite client who's easy to work with. Recommended. Thank you.
hard-hitting-guest-posts.txt,Hard Hitting Guest Posts,abdullahzahid,5,2 years ago,Thank you Barry!,
hard-hitting-guest-posts.txt,Hard Hitting Guest Posts,ledin,5,2 years ago,"Hello Barry! Sorry to say, the messed and mixed it up the order - Graceofsweden sells christening gowns but text on the posts says scaffolding; stallningonline.se sells scaffolding.",Very patient buyer. Thank you (looks like some of the other was delivered with this one - will sort it out via pm) thanks again
hard-hitting-guest-posts.txt,Hard Hitting Guest Posts,TheTechDigit,5,2 years ago,"Is this only link, the order supposed to deliver?",
hard-hitting-guest-posts.txt,Hard Hitting Guest Posts,starvenger,5,2 years ago,Barry thanks you. Amazing job. See you soon,
hard-hitting-guest-posts.txt,Hard Hitting Guest Posts,nopus,5,2 years ago,Perfect. 5 Stars *****,
hard-hitting-guest-posts.txt,Hard Hitting Guest Posts,gustavtk,5,3 years ago,Great as always,
hard-hitting-guest-posts.txt,Hard Hitting Guest Posts,angeltj,5,5 years ago,ok.,
hard-hitting-guest-posts.txt,Hard Hitting Guest Posts,Stocktrades,5,5 years ago,,
hard-hitting-guest-posts.txt,Hard Hitting Guest Posts,simplybiz,5,5 years ago,,
keywords-that-rank.txt,Keywords That Rank,RTItraining,5,3 months ago,Barry is the best! We cannot recommend him highly enough!!!,
keywords-that-rank.txt,Keywords That Rank,Tradewinds,5,4 months ago,Thanks for the insight. I have some work to do,You're welcome. Let me know if you need any help getting those bits done. Thanks again
keywords-that-rank.txt,Keywords That Rank,Thantheman1790,5,4 months ago,Excellent job with an in depth breakdown of why Barry chose the keywords he did as well as some info on strategy moving forward. I look forward to ordering his other services.,Pleasure working with you. Thank you for your business and trust.
keywords-that-rank.txt,Keywords That Rank,mazino,5,1 year ago,,
keywords-that-rank.txt,Keywords That Rank,amelia007,5,2 years ago,hello you gan send me report ?,"Sure, I will send it again via PM. (Its currently attached to the order delivery tab) Thanks again!"
keywords-that-rank.txt,Keywords That Rank,88marketing,5,2 years ago,ok thank's,
keywords-that-rank.txt,Keywords That Rank,christenstefan,5,2 years ago,Great service as always!,
keywords-that-rank.txt,Keywords That Rank,igametech,5,2 years ago,OK,
keywords-that-rank.txt,Keywords That Rank,midesignz,5,2 years ago,looks good thanks,
keywords-that-rank.txt,Keywords That Rank,solidarityspy,5,2 years ago,GOOD WORK.,
new-links-all-month.txt,New Links All Month,almuzayanglobal,5,1 year ago,Barry is honest seller. your money in safe place,
new-links-all-month.txt,New Links All Month,Karaze78,5,1 year ago,"Brian has a neat presentation but as he mentions in his video, we need time to see if this works. 5 stars on presentation though.",
new-links-all-month.txt,New Links All Month,dannycsz,5,2 years ago,excellent work by Barry team once again. Highly recomment.,
new-links-all-month.txt,New Links All Month,mattdoubleyoo,5,2 years ago,thanks!,
